timestamp,home311_hall2851_sensor20141c20143_electric-mains_electric-combined,home311_bathroom2854_sensor20133_gas-pulse_gas
2018-04-01 23:00:00,73.0,0.0
2018-04-02 00:00:00,78.0,0.0
2018-04-02 01:00:00,65.0,0.0
2018-04-02 03:00:00,44.0,0.0
2018-04-02 04:00:00,70.0,335.0
2018-04-02 05:00:00,58.0,0.0
2018-04-02 06:00:00,60.0,0.0
2018-04-02 07:00:00,1550.0,112.0
2018-04-02 08:00:00,523.0,9626.0
2018-04-02 09:00:00,113.0,10411.0
2018-04-02 10:00:00,82.0,7723.0
2018-04-02 11:00:00,85.0,7837.0
2018-04-02 12:00:00,84.0,6271.0
2018-04-02 13:00:00,72.0,7725.0
2018-04-02 14:00:00,95.0,4925.0
2018-04-02 15:00:00,57.0,5823.0
2018-04-02 16:00:00,116.0,6271.0
2018-04-02 17:00:00,130.0,9625.0
2018-04-02 18:00:00,177.0,7502.0
2018-04-02 19:00:00,241.0,7164.0
2018-04-02 20:00:00,733.0,8283.0
2018-04-02 21:00:00,118.0,5931.0
2018-04-02 22:00:00,108.0,7611.0
2018-04-02 23:00:00,59.0,0.0
2018-04-03 00:00:00,56.0,0.0
2018-04-03 01:00:00,50.0,112.0
2018-04-03 02:00:00,66.0,0.0
2018-04-03 03:00:00,1095.0,224.0
2018-04-03 04:00:00,64.0,0.0
2018-04-03 05:00:00,47.0,112.0
2018-04-03 06:00:00,46.0,112.0
2018-04-03 07:00:00,284.0,8505.0
2018-04-03 08:00:00,462.0,10858.0
2018-04-03 09:00:00,225.0,10522.0
2018-04-03 10:00:00,209.0,10186.0
2018-04-03 11:00:00,200.0,6382.0
2018-04-03 12:00:00,197.0,9179.0
2018-04-03 13:00:00,201.0,7950.0
2018-04-03 14:00:00,917.0,3247.0
2018-04-03 15:00:00,168.0,8283.0
2018-04-03 16:00:00,76.0,7836.0
2018-04-03 17:00:00,97.0,5148.0
2018-04-03 18:00:00,124.0,7388.0
2018-04-03 19:00:00,217.0,5150.0
2018-04-03 20:00:00,160.0,4254.0
2018-04-03 21:00:00,158.0,4138.0
2018-04-03 22:00:00,107.0,4032.0
2018-04-03 23:00:00,68.0,0.0
2018-04-04 00:00:00,60.0,0.0
2018-04-04 01:00:00,76.0,112.0
2018-04-04 02:00:00,41.0,0.0
2018-04-04 03:00:00,64.0,112.0
2018-04-04 04:00:00,50.0,0.0
2018-04-04 05:00:00,59.0,3694.0
2018-04-04 06:00:00,63.0,0.0
2018-04-04 07:00:00,36.0,112.0
2018-04-04 08:00:00,75.0,4927.0
2018-04-04 09:00:00,369.0,11525.0
2018-04-04 10:00:00,95.0,6717.0
2018-04-04 11:00:00,104.0,7166.0
2018-04-04 12:00:00,85.0,8170.0
2018-04-04 13:00:00,107.0,6943.0
2018-04-04 14:00:00,390.0,4477.0
2018-04-04 15:00:00,382.0,7276.0
2018-04-04 16:00:00,256.0,3693.0
2018-04-04 17:00:00,191.0,4142.0
2018-04-04 18:00:00,362.0,9851.0
2018-04-04 19:00:00,193.0,6265.0
2018-04-04 20:00:00,159.0,8504.0
2018-04-04 21:00:00,117.0,7166.0
2018-04-04 22:00:00,115.0,3696.0
2018-04-04 23:00:00,37.0,0.0
2018-04-05 00:00:00,67.0,0.0
2018-04-05 01:00:00,46.0,112.0
2018-04-05 02:00:00,53.0,0.0
2018-04-05 03:00:00,61.0,0.0
2018-04-05 04:00:00,36.0,112.0
2018-04-05 05:00:00,66.0,0.0
2018-04-05 06:00:00,46.0,0.0
2018-04-05 07:00:00,78.0,7615.0
2018-04-05 08:00:00,732.0,9737.0
2018-04-05 09:00:00,92.0,9407.0
2018-04-05 10:00:00,109.0,8168.0
2018-04-05 11:00:00,105.0,8284.0
2018-04-05 12:00:00,106.0,5821.0
2018-04-05 13:00:00,97.0,6046.0
2018-04-05 14:00:00,73.0,5596.0
2018-04-05 15:00:00,86.0,3582.0
2018-04-05 16:00:00,51.0,3134.0
2018-04-05 17:00:00,363.0,112.0
2018-04-05 18:00:00,758.0,4029.0
2018-04-05 19:00:00,333.0,4142.0
2018-04-05 20:00:00,409.0,3803.0
2018-04-05 21:00:00,163.0,10410.0
2018-04-05 22:00:00,92.0,1791.0
2018-04-05 23:00:00,48.0,0.0
2018-04-06 00:00:00,67.0,0.0
2018-04-06 01:00:00,49.0,0.0
2018-04-06 02:00:00,59.0,112.0
2018-04-06 03:00:00,58.0,0.0
2018-04-06 04:00:00,50.0,0.0
2018-04-06 05:00:00,68.0,112.0
2018-04-06 06:00:00,62.0,112.0
2018-04-06 07:00:00,79.0,0.0
2018-04-06 08:00:00,634.0,8168.0
2018-04-06 09:00:00,330.0,9179.0
2018-04-06 10:00:00,92.0,7388.0
2018-04-06 11:00:00,83.0,5598.0
2018-04-06 12:00:00,85.0,6377.0
2018-04-06 13:00:00,64.0,3917.0
2018-04-06 14:00:00,89.0,3917.0
2018-04-06 15:00:00,62.0,4255.0
2018-04-06 16:00:00,85.0,3688.0
2018-04-06 17:00:00,51.0,4367.0
2018-04-06 18:00:00,155.0,3583.0
2018-04-06 19:00:00,242.0,4703.0
2018-04-06 20:00:00,982.0,336.0
2018-04-06 21:00:00,97.0,3916.0
2018-04-06 22:00:00,109.0,3692.0
2018-04-06 23:00:00,65.0,0.0
2018-04-07 00:00:00,74.0,112.0
2018-04-07 01:00:00,80.0,0.0
2018-04-07 02:00:00,86.0,0.0
2018-04-07 03:00:00,78.0,3919.0
2018-04-07 04:00:00,48.0,0.0
2018-04-07 05:00:00,71.0,3693.0
2018-04-07 06:00:00,56.0,335.0
2018-04-07 07:00:00,880.0,3920.0
2018-04-07 08:00:00,1167.0,1792.0
2018-04-07 09:00:00,104.0,6269.0
2018-04-07 10:00:00,78.0,335.0
2018-04-07 11:00:00,841.0,8616.0
2018-04-07 12:00:00,669.0,6380.0
2018-04-07 13:00:00,193.0,5375.0
2018-04-07 14:00:00,1553.0,7831.0
2018-04-07 15:00:00,707.0,5818.0
2018-04-07 16:00:00,1350.0,7613.0
2018-04-07 17:00:00,3350.0,1008.0
2018-04-07 18:00:00,272.0,5486.0
2018-04-07 19:00:00,250.0,3807.0
2018-04-07 20:00:00,299.0,4476.0
2018-04-07 21:00:00,373.0,0.0
2018-04-07 22:00:00,1375.0,0.0
2018-04-07 23:00:00,107.0,335.0
2018-04-08 00:00:00,39.0,0.0
2018-04-08 01:00:00,76.0,0.0
2018-04-08 02:00:00,48.0,0.0
2018-04-08 03:00:00,73.0,112.0
2018-04-08 04:00:00,46.0,0.0
2018-04-08 05:00:00,77.0,560.0
2018-04-08 06:00:00,62.0,0.0
2018-04-08 07:00:00,53.0,0.0
